key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
FH_20_1R_R23:1,Faulhaber,20_1R_R23:1,planetary,2,23.0,0.039,0.0,0.8,1.0,1.1,0.8
FH_20_1R_R43:1,Faulhaber,20_1R_R43:1,planetary,3,43.0,0.049,0.0,0.7000000000000001,1.0,1.1,0.8
FH_20_1R_R66:1,Faulhaber,20_1R_R66:1,planetary,3,66.0,0.049,0.0,0.7000000000000001,1.0,1.1,0.8
FH_20_1R_R86:1,Faulhaber,20_1R_R86:1,planetary,3,86.0,0.049,0.0,0.7000000000000001,1.0,1.1,0.8
FH_20_1R_R112:1,Faulhaber,20_1R_R112:1,planetary,4,112.0,0.059,0.0,0.6,1.0,1.1,0.8
FH_20_1R_R134:1,Faulhaber,20_1R_R134:1,planetary,4,134.0,0.059,0.0,0.6,1.0,1.1,0.8
FH_20_1R_R159:1,Faulhaber,20_1R_R159:1,planetary,4,159.0,0.059,0.0,0.6,1.0,1.1,0.8
FH_20_1R_R190:1,Faulhaber,20_1R_R190:1,planetary,4,190.0,0.059,0.0,0.6,1.0,1.1,0.8
FH_20_1R_R415:1,Faulhaber,20_1R_R415:1,planetary,5,415.0,0.069,0.0,0.55,1.0,1.1,0.8
FH_20_1R_R592:1,Faulhaber,20_1R_R592:1,planetary,5,592.0,0.069,0.0,0.55,1.0,1.1,0.8
FH_20_1R_R989:1,Faulhaber,20_1R_R989:1,planetary,5,989.0,0.069,0.0,0.55,1.0,1.1,0.8
FH_20_1R_R1526:1,Faulhaber,20_1R_R1526:1,planetary,5,1526.0,0.069,0.0,0.55,1.0,1.1,0.8
FH_20_1R_R246:1,Faulhaber,20_1R_R246:1,planetary,5,246.0,0.069,0.0,0.55,1.0,1.1,0.8
FH_38_2S_R14:1,Faulhaber,38_2S_R14:1,planetary,2,14.0,0.195,0.0,0.8,1.0,15.0,10.0
FH_38_2S_R43:1,Faulhaber,38_2S_R43:1,planetary,3,43.0,0.245,0.0,0.7000000000000001,1.0,15.0,10.0
FH_38_2S_R66:1,Faulhaber,38_2S_R66:1,planetary,3,66.0,0.245,0.0,0.7000000000000001,1.0,15.0,10.0
FH_38_2S_R134:1,Faulhaber,38_2S_R134:1,planetary,4,134.0,0.29600000000000004,0.0,0.6,1.0,15.0,10.0
FH_38_2S_R159:1,Faulhaber,38_2S_R159:1,planetary,4,159.0,0.29600000000000004,0.0,0.6,1.0,15.0,10.0
FH_38_2S_R246:1,Faulhaber,38_2S_R246:1,planetary,4,246.0,0.29600000000000004,0.0,0.6,1.0,15.0,10.0
FH_38_2S_R415:1,Faulhaber,38_2S_R415:1,planetary,5,415.0,0.34800000000000003,0.0,0.55,1.0,15.0,10.0
FH_38_2S_R592:1,Faulhaber,38_2S_R592:1,planetary,5,592.0,0.34800000000000003,0.0,0.55,1.0,15.0,10.0
FH_38_2S_R989:1,Faulhaber,38_2S_R989:1,planetary,5,989.0,0.34800000000000003,0.0,0.55,1.0,15.0,10.0
FH_38_2S_R1526:1,Faulhaber,38_2S_R1526:1,planetary,5,1526.0,0.34800000000000003,0.0,0.55,1.0,15.0,10.0
FH_26_1R_R3.71:1,Faulhaber,26_1R_R3.71:1,planetary,1,3.71,0.09300000000000001,0.0,0.91,1.0,0.6,0.4
FH_26_1R_R9.7:1,Faulhaber,26_1R_R9.7:1,planetary,2,9.7,0.11599999999999999,0.0,0.8300000000000001,1.0,1.2,1.0
FH_26_1R_R14:1,Faulhaber,26_1R_R14:1,planetary,2,14.0,0.11599999999999999,0.0,0.8300000000000001,1.0,1.2,1.0
FH_26_1R_R23:1,Faulhaber,26_1R_R23:1,planetary,2,23.0,0.11599999999999999,0.0,0.8300000000000001,1.0,1.8,1.5
FH_26_1R_R43:1,Faulhaber,26_1R_R43:1,planetary,3,43.0,0.139,0.0,0.75,1.0,2.2,1.8
FH_26_1R_R66:1,Faulhaber,26_1R_R66:1,planetary,3,66.0,0.139,0.0,0.75,1.0,3.0,2.5
FH_26_1R_R86:1,Faulhaber,26_1R_R86:1,planetary,3,86.0,0.139,0.0,0.75,1.0,3.6,3.0
FH_26_1R_R134:1,Faulhaber,26_1R_R134:1,planetary,4,134.0,0.162,0.0,0.6900000000000001,1.0,4.5,3.5
