key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_370685,Maxon,370685,planetary,1,4.38461538461539,0.051,6e-08,0.84,1,2.5,2
MM_370686,Maxon,370686,planetary,1,5.4,0.051,6e-08,0.84,1,2.5,2
MM_370687,Maxon,370687,planetary,2,14.0625,0.064,4e-08,0.7,1,3,2.4
MM_370688,Maxon,370688,planetary,2,16.4423076923077,0.064,4e-08,0.7,1,3,2.4
MM_370689,Maxon,370689,planetary,2,19.2248520710059,0.064,4e-08,0.7,1,3,2.4
MM_370690,Maxon,370690,planetary,2,20.25,0.064,4e-08,0.7,1,3,2.4
MM_370691,Maxon,370691,planetary,2,23.6769230769231,0.064,4e-08,0.7,1,2.4,2.4
MM_370692,Maxon,370692,planetary,2,29.16,0.064,4e-08,0.7,1,2.4,2.4
MM_370776,Maxon,370776,planetary,3,52.734375,0.078,4e-08,0.59,1,3.5,3
MM_370778,Maxon,370778,planetary,3,61.6586538461538,0.078,4e-08,0.59,1,3.5,3
MM_370779,Maxon,370779,planetary,3,72.0931952662722,0.078,4e-08,0.59,1,3.5,3
MM_370780,Maxon,370780,planetary,3,75.9375,0.078,4e-08,0.59,1,3.5,3
MM_370781,Maxon,370781,planetary,3,84.2935821574875,0.078,4e-08,0.59,1,3.5,3
MM_370782,Maxon,370782,planetary,3,88.7884615384615,0.078,4e-08,0.59,1,3.5,3
MM_370783,Maxon,370783,planetary,3,103.814201183432,0.078,4e-08,0.59,1,3.5,3
MM_370784,Maxon,370784,planetary,3,109.35,0.078,4e-08,0.59,1,3,3
MM_370785,Maxon,370785,planetary,3,127.855384615385,0.078,4e-08,0.59,1,3.5,3
MM_370786,Maxon,370786,planetary,3,157.464,0.078,4e-08,0.59,1,3.5,3
MM_370792,Maxon,370792,planetary,4,197.75390625,0.091,4e-08,0.49,1,3.8,3.4
MM_370794,Maxon,370794,planetary,4,231.219951923077,0.091,4e-08,0.49,1,3.8,3.4
MM_370795,Maxon,370795,planetary,4,270.349482248521,0.091,4e-08,0.49,1,3.8,3.4
MM_370796,Maxon,370796,planetary,4,284.765625,0.091,4e-08,0.49,1,3.8,3.4
MM_370797,Maxon,370797,planetary,4,316.100933090578,0.091,4e-08,0.49,1,3.8,3.4
MM_370799,Maxon,370799,planetary,4,332.956730769231,0.091,4e-08,0.49,1,3.8,3.4
MM_370800,Maxon,370800,planetary,4,369.59493715206,0.091,4e-08,0.49,1,3.8,3.4
MM_370801,Maxon,370801,planetary,4,389.30325443787,0.091,4e-08,0.49,1,3.8,3.4
MM_370802,Maxon,370802,planetary,4,410.0625,0.091,4e-08,0.49,1,3.8,3.4
MM_370803,Maxon,370803,planetary,4,455.186253982704,0.091,4e-08,0.49,1,3.8,3.4
